event,year
1972- Sheikh Mujibur Rahman returns from prison in West Pakistan to become prime minister of the newly independent state of Bangladesh,1972
1973- Prime minister Jack Lynch leads Ireland into the European Community,1973
1974- Alexander Solzhenitsyn is deported from the USSR to West Germany for publishing The Gulag Archipelago,1974
1975- Internment is ended in Ulster after the Gardiner Report states that it brings the law into disrepute,1975
1976- Mikhail Baryshnikov dances in the New York premiere of Twyla Tharp's ballet Push Comes to Shove,1976
1977- Mengistu Haile Mariam seizes control of Ethiopia's ruling Dergue (military council) in a violent coup,1977
1978- Kenneth MacMillan turns a double suicide of 1889 into a ferociously dramatic ballet Mayerling,1978
1979- An Islamic revolution forces the Shah Mohammad Reza Pahlavi to flee from Iran,1979
1980- The small firm of Microsoft wins the contract to provide the operating system of the IBM personal computer,1980
1981- Iran releases the US embassy hostages immediately after the end of Jimmy Carter's presidency,1981
1982- The Saudi fundamentalist Osama bin Laden joins the mujaheddin in their fight against the Soviet occupiers of Afghanistan,1982
1983- British economist Nicholas Kaldor attacks monetarism in The Economic Consequences of Mrs Thatcher,1983
1984- British skaters Jayne Torvill and Christopher Dean earn a perfect score for their Boleroprogramme in the Sarajevo winter Olympics,1984
1985- Civilian rule is restored in Brazil after Tancredo Neves and Jose Sarney are elected president and vice-president,1985
1986- The US Space shuttle Challengerexplodes with seven on board less than two minutes after lift-off,1986
1987- Mugabe and Nkomo merge their two parties as ZANU-PF making Zimbabwe effectively a one-party state,1987
1988- Ayatollah Khomeini declares a fatwaagainst Salman Rushdie for his Satanic Verses,1988
1989- Paraguayan dictator Alfredo Stroessner is toppled by Andres Rodriguez who restores democracy to the country,1989
1990- Panama's dictator Manuel Noriega is captured by US troops and taken to Miami on drug trafficking charges,1990
1991- The Gulf War begins when Iraq fails to meet the UN deadline for withdrawal from Kuwait,1991
1992- Algeria is plunged into a brutal civil war between a military junta and Muslim terrorists,1992
1993- Czechoslovakia divides peacefully into the Czech and Slovak Republics,1993
1994- Mayan Indians in Chiapas rebel in an armed uprising against the Mexican government,1994
1995- Sithole is arrested on a charge of plotting to assassinate Mugabe in a move widely seen as a way of keeping him out of the 1996 presidential election,1995
1996- Yasser Arafat is elected president of the new Palestinian National Authority,1996
1997- Deng Xiaoping dies and is succeeded by Jiang Zemin as China's leader,1997
1998- President Clinton is emphatic: 'I did not have sexual relations with that woman Ms Lewinsky.',1998
1999- Eleven of the nations in the European Union adopt the euro as a shared single currency,1999
