titleid,rating,title,isAdult,startYear,runtimeMinutes,genres
tt0003596The Active Life of Dolly of the Dailies,6.2,The Active Life of Dolly of the Dailies,0,1914,170,Drama
tt0003597Adoptivkind,0,Adoptivkind,0,1914,\N,\N
tt0003598The Adventures of Andy Clark,4.6,The Adventures of Andy Clark,0,1914,\N,Adventure
tt0003599The Adventures of Buffalo Bill,6.8,The Adventures of Buffalo Bill,0,1917,\N,Documentary
tt0003600The Adventures of Kitty Cobb,6.8,The Adventures of Kitty Cobb,0,1914,\N,Adventure
tt0003601The Adventures of Pimple: Trilby,0,The Adventures of Pimple: Trilby,0,1914,\N,Comedy
tt0003602The Adventures of a Diplomatic Freelance,0,The Adventures of a Diplomatic Freelance,0,1914,\N,\N
tt0003603An Affair for the Police,0,An Affair for the Police,0,1914,\N,Comedy
tt0003605After the Ball,6.7,After the Ball,0,1914,\N,Drama
tt0003606Aftermath,0,Aftermath,0,1914,\N,Drama
tt0003607The Alarm,0,The Alarm,0,1914,\N,Comedy
tt0003608El alcalde de Zalamea,4,El alcalde de Zalamea,0,1914,\N,\N
tt0003609Alexandra,5.1,Alexandra,0,1914,\N,Drama
tt0003610Alexia o La niña del misterio,0,Alexia o La niña del misterio,0,1916,\N,\N
tt0003611All at Sea,0,All at Sea,0,1914,\N,Comedy
tt0003612All's Well That Ends Well,0,All's Well That Ends Well,0,1914,11,Comedy
tt0003613Alone in New York,0,Alone in New York,0,1914,\N,Crime
tt0003614The Amateur Detective,0,The Amateur Detective,0,1914,\N,Comedy
tt0003615Ambrose's First Falsehood,5.8,Ambrose's First Falsehood,0,1914,11,Comedy
tt0003616Ambrose's Little Hatchet,4.7,Ambrose's Little Hatchet,0,1915,\N,Comedy
tt0003617America,3.9,America,0,1914,\N,Adventure
tt0003618An American Citizen,7,An American Citizen,0,1914,40,Comedy
tt0003619Amigas siempre,0,Amigas siempre,0,1914,\N,\N
tt0003620Among the Mourners,0,Among the Mourners,0,1914,\N,Comedy
tt0003621Amor andaluz,0,Amor andaluz,0,1914,\N,Comedy
tt0003622Love of Perdition,0,Love of Perdition,0,1914,\N,Drama
tt0003623Amor de pescadora,0,Amor de pescadora,0,1914,\N,\N
tt0003624The Anglers,0,The Anglers,0,1914,\N,Comedy
tt0003625Anna Karenina,6,Anna Karenina,0,1914,\N,Drama
tt0003626Another Chance,0,Another Chance,0,1914,\N,Drama
tt0003627Another Tale,0,Another Tale,0,1914,3,Animation
tt0003628The Anti-Neurasthenic Trumpet,0,The Anti-Neurasthenic Trumpet,0,1914,\N,Animation
tt0003629Apuntes de la fiesta de la flor,0,Apuntes de la fiesta de la flor,0,1914,\N,Documentary
tt0003630Golddigger,4.6,Golddigger,0,1914,\N,Western
tt0003631Aristocracy,0,Aristocracy,0,1914,\N,Drama
tt0003632Arme Eva,6.7,Arme Eva,0,1916,\N,Drama
tt0003633Arms and the Gringo,0,Arms and the Gringo,0,1914,20,Romance
tt0003634As Ye Sow,0,As Ye Sow,0,1914,50,Drama
tt0003635Ashes of Hope,0,Ashes of Hope,0,1914,22,Drama
tt0003636Ashes of the Past,0,Ashes of the Past,0,1914,\N,Drama
tt0003637Assunta Spina,6.2,Assunta Spina,0,1915,72,Drama
tt0003638At Dawn,7,At Dawn,0,1914,\N,Drama
tt0003639At the Cross Roads,0,At the Cross Roads,0,1914,\N,Drama
tt0003640The Attic Above,0,The Attic Above,0,1914,11,Drama
tt0003641Auntie's Portrait,5.1,Auntie's Portrait,0,1915,12,Comedy
tt0003642The Availing Prayer,0,The Availing Prayer,0,1914,10,Drama
tt0003643The Avenging Conscience: or 'Thou Shalt Not Kill',6.4,The Avenging Conscience: or 'Thou Shalt Not Kill',0,1914,78,Crime
tt0003644The Aviator Spy,0,The Aviator Spy,0,1914,\N,Short
tt0003645Baby's Ride,0,Baby's Ride,0,1914,\N,Comedy
tt0003646A Bachelor's Love Story,0,A Bachelor's Love Story,0,1914,13,Drama
tt0003647Mack at It Again,0,Mack at It Again,0,1914,\N,Comedy
tt0003648Back to Broadway,0,Back to Broadway,0,1914,\N,Comedy
tt0003649Back to the Farm,0,Back to the Farm,0,1914,\N,Comedy
tt0003650Back to the Kitchen,0,Back to the Kitchen,0,1914,10,Comedy
tt0003651Badehotellet,0,Badehotellet,0,1915,\N,Drama
tt0003652Baffles,0,Baffles,0,1914,\N,Comedy
tt0003653The Baggage Smasher,0,The Baggage Smasher,0,1914,\N,Comedy
tt0003654Bandits of the Border Mine,0,Bandits of the Border Mine,0,1914,\N,Drama
tt0003655The Banker's Daughter,0,The Banker's Daughter,0,1914,\N,Drama
tt0003656The Barefoot Boy,0,The Barefoot Boy,0,1914,30,Drama
tt0003657The Bargain,6.5,The Bargain,0,1914,70,Western
tt0003658Barnyard Flirtations,0,Barnyard Flirtations,0,1914,11,Comedy
tt0003659The Barrier of Ignorance,0,The Barrier of Ignorance,0,1914,\N,Drama
tt0003660The Basilisk,3.6,The Basilisk,0,1914,28,Horror
tt0003661The Bath,0,The Bath,0,1914,\N,Animation
tt0003662The Battle of Elderbush Gulch,6.2,The Battle of Elderbush Gulch,0,1913,29,Action
tt0003663Battle of Gettysgoat,0,Battle of Gettysgoat,0,1914,\N,Comedy
tt0003664The Battle of Love,0,The Battle of Love,0,1914,\N,Drama
tt0003665The Battle of the Sexes,6.4,The Battle of the Sexes,0,1914,50,Drama
tt0003666The Beast,0,The Beast,0,1914,\N,Drama
tt0003667The Beat of the Year,0,The Beat of the Year,0,1914,\N,Drama
tt0003668Beating Back,6.1,Beating Back,0,1914,60,Adventure
tt0003669A becsapott újságíró,0,A becsapott újságíró,0,1915,\N,\N
tt0003670Behind the Scenes,6.5,Behind the Scenes,0,1914,75,Drama
tt0003671Behind the Veil,0,Behind the Veil,0,1914,\N,Drama
tt0003672La Belle Russe,0,La Belle Russe,0,1914,\N,Drama
tt0003673The Belle of the School,0,The Belle of the School,0,1914,\N,Comedy
tt0003674The Bells of Rheims,0,The Bells of Rheims,0,1914,\N,Drama
tt0003675The Beloved Adventurer,6.9,The Beloved Adventurer,0,1914,450,Adventure
tt0003676Beneath the Czar,0,Beneath the Czar,0,1914,\N,Drama
tt0003677The Better Man,0,The Better Man,0,1914,\N,Drama
tt0003678The Better Way,0,The Better Way,0,1914,10,Drama
tt0003679Between Showers,5.4,Between Showers,0,1914,15,Comedy
tt0003680The Billionaire,0,The Billionaire,0,1914,\N,Comedy
tt0003681Billy's Ruse,0,Billy's Ruse,0,1914,9,Comedy
tt0003682The Birth of the Star Spangled Banner,0,The Birth of the Star Spangled Banner,0,1914,\N,Drama
tt0003683The Blind Fiddler,0,The Blind Fiddler,0,1914,\N,Drama
tt0003684Blood Will Tell,0,Blood Will Tell,0,1914,29,Drama
tt0003685Det blaa vidunder,0,Det blaa vidunder,0,1915,\N,Comedy
tt0003686The Boer War,7.2,The Boer War,0,1914,\N,Drama
tt0003687Bombs and Bangs,0,Bombs and Bangs,0,1914,\N,Comedy
tt0003688The Book of Nature,0,The Book of Nature,0,1914,\N,Documentary
tt0003689Born Again,0,Born Again,0,1914,\N,Drama
tt0003690The Borrowed Finery,0,The Borrowed Finery,0,1914,\N,Comedy
tt0003691The Bottom of the Sea,0,The Bottom of the Sea,0,1914,6,Animation
tt0003692The Boundary Rider,7.1,The Boundary Rider,0,1914,\N,Adventure
tt0003693A Boy and the Law,0,A Boy and the Law,0,1913,\N,Drama
tt0003694Bra flicka reder sig själv,0,Bra flicka reder sig själv,0,1914,41,Comedy
tt0003695A Brand New Hero,0,A Brand New Hero,0,1914,\N,Comedy
tt0003696The Brand,0,The Brand,0,1914,20,Drama
tt0003697Breed o' the Mountains,0,Breed o' the Mountains,0,1914,11,Drama
tt0003698Brewster's Millions,6.7,Brewster's Millions,0,1914,\N,Comedy
tt0003699Bright and Early,4.7,Bright and Early,0,1918,\N,Comedy
tt0003700Broncho Billy Guardian,0,Broncho Billy Guardian,0,1914,11,Short
tt0003701Broncho Billy Outlaw,0,Broncho Billy Outlaw,0,1914,11,Short
tt0003702Broncho Billy and the Bad Man,0,Broncho Billy and the Bad Man,0,1914,11,Short
tt0003703Broncho Billy and the Claim Jumpers,0,Broncho Billy and the Claim Jumpers,0,1915,9,Adventure
tt0003704Broncho Billy and the Escaped Bandit,0,Broncho Billy and the Escaped Bandit,0,1915,\N,Short
tt0003705Broncho Billy and the Mine Shark,0,Broncho Billy and the Mine Shark,0,1914,11,Short
tt0003706Broncho Billy and the Rattler,0,Broncho Billy and the Rattler,0,1914,11,Short
tt0003707Broncho Billy and the Red Man,0,Broncho Billy and the Red Man,0,1914,11,Short
tt0003708Broncho Billy and the Settler's Daughter,0,Broncho Billy and the Settler's Daughter,0,1914,11,Short
tt0003709Broncho Billy and the Sheriff,0,Broncho Billy and the Sheriff,0,1914,\N,Short
tt0003710Broncho Billy and the Sisters,0,Broncho Billy and the Sisters,0,1915,\N,Short
tt0003711Broncho Billy's Bible,0,Broncho Billy's Bible,0,1912,\N,Short
tt0003712Broncho Billy's Close Call,0,Broncho Billy's Close Call,0,1914,11,Short
tt0003713Broncho Billy's Cunning,0,Broncho Billy's Cunning,0,1914,11,Short
tt0003714Broncho Billy's Duty,0,Broncho Billy's Duty,0,1914,11,Short
tt0003715Broncho Billy's Jealousy,0,Broncho Billy's Jealousy,0,1914,\N,Short
tt0003716Broncho Billy's Leap,0,Broncho Billy's Leap,0,1914,11,Short
tt0003717Broncho Billy's Punishment,0,Broncho Billy's Punishment,0,1914,\N,Short
tt0003718Broncho Billy's Sermon,0,Broncho Billy's Sermon,0,1914,11,Short
tt0003719Broncho Billy's True Love,0,Broncho Billy's True Love,0,1914,11,Adventure
tt0003720The Brute,0,The Brute,0,1914,\N,Drama
tt0003721Buck Parvin in the Movies,0,Buck Parvin in the Movies,0,1915,\N,Short
tt0003722Buddy's Downfall,0,Buddy's Downfall,0,1914,\N,Comedy
tt0003723Buddy's First Call,0,Buddy's First Call,0,1914,\N,Comedy
tt0003724In the Days of the Thundering Herd,5.8,In the Days of the Thundering Herd,0,1914,48,Western
tt0003725Bunny Buys a Harem,0,Bunny Buys a Harem,0,1914,\N,Comedy
tt0003726Bunny's Birthday,0,Bunny's Birthday,0,1914,10,Comedy
tt0003727Bunny's Mistake,0,Bunny's Mistake,0,1914,9,Comedy
tt0003728Bunny's Scheme,0,Bunny's Scheme,0,1914,11,Comedy
tt0003729The Burden,0,The Burden,0,1914,\N,Drama
tt0003730The Burglar and the Lady,0,The Burglar and the Lady,0,1914,\N,Crime
tt0003731Burning Daylight: the Adventures of 'Burning Daylight' in Alaska,5.3,Burning Daylight: the Adventures of 'Burning Daylight' in Alaska,0,1914,50,Adventure
tt0003732Burning Daylight: The Adventures of 'Burning Daylight' in Civilization,0,Burning Daylight: The Adventures of 'Burning Daylight' in Civilization,0,1914,50,Drama
tt0003733A Busy Day,4.8,A Busy Day,0,1914,6,Comedy
tt0003734By the Sun's Rays,5.2,By the Sun's Rays,0,1914,11,Action
tt0003735Bánk bán,4.9,Bánk bán,0,1915,\N,\N
tt0003736C.O.D.,0,C.O.D.,0,1914,\N,Comedy
tt0003737Cabalgata de los mercados en Barcelona,0,Cabalgata de los mercados en Barcelona,0,1914,\N,Documentary
tt0003738El caballero Casarroja,0,El caballero Casarroja,0,1914,\N,\N
tt0003739The Cabaret Dancer,0,The Cabaret Dancer,0,1914,22,Drama
tt0003740Cabiria,7.1,Cabiria,0,1914,148,Adventure
tt0003741Cactus Jake Heart-Breaker,0,Cactus Jake Heart-Breaker,0,1914,\N,Short
tt0003742Calatayud en fiestas,0,Calatayud en fiestas,0,1914,\N,Documentary
tt0003743The Call of the North,5.3,The Call of the North,0,1914,\N,Adventure
tt0003744Called Back,0,Called Back,0,1914,\N,Drama
tt0003745The Calling of Jim Barton,0,The Calling of Jim Barton,0,1914,11,Short
tt0003746El calvario de un héroe,0,El calvario de un héroe,0,1914,\N,\N
tt0003747Cameo Kirby,0,Cameo Kirby,0,1914,50,Action
tt0003748Captain Alvarez,8.3,Captain Alvarez,0,1914,60,Drama
tt0003749The Captain Besley Expedition,0,The Captain Besley Expedition,0,1914,\N,Documentary
tt0003750Captain F.E. Kleinschmidt's Arctic Hunt,5.3,Captain F.E. Kleinschmidt's Arctic Hunt,0,1914,16,Documentary
tt0003751Captain Macklin,5.7,Captain Macklin,0,1915,40,Drama
tt0003752Captain Swift,0,Captain Swift,0,1914,\N,Drama
tt0003753The Capture of Aguinaldo,0,The Capture of Aguinaldo,0,1913,20,Drama
tt0003754The Capture of a Sea Elephant and Hunting Wild Game in the South Pacific Islands,0,The Capture of a Sea Elephant and Hunting Wild Game in the South Pacific Islands,0,1914,\N,Documentary
tt0003755The Car of Death,0,The Car of Death,0,1914,\N,Drama
tt0003756Cardinal Richelieu's Ward,0,Cardinal Richelieu's Ward,0,1914,\N,Drama
tt0003757Catástrofe de Aguilón,0,Catástrofe de Aguilón,0,1914,\N,Documentary
tt0003758Caught in a Cabaret,5.7,Caught in a Cabaret,0,1914,30,Comedy
tt0003759Caught in a Flue,0,Caught in a Flue,0,1914,\N,Comedy
tt0003760Caught in the Rain,5.7,Caught in the Rain,0,1914,16,Comedy
tt0003761A Celebrated Case,0,A Celebrated Case,0,1914,\N,Drama
tt0003762Gentleman of the Room,0,Gentleman of the Room,0,1914,24,Short
tt0003763Charlotte Corday,0,Charlotte Corday,0,1914,\N,Drama
tt0003764La chavala,0,La chavala,0,1914,\N,\N
tt0003765The Chechako,0,The Chechako,0,1914,\N,Drama
tt0003766Chicken Chaser,0,Chicken Chaser,0,1914,10,Comedy
tt0003767The Chimes,0,The Chimes,0,1914,\N,Fantasy
tt0003768The Chimes,5,The Chimes,0,1914,\N,Drama
tt0003770Chip of the Flying U,0,Chip of the Flying U,0,1914,\N,Short
tt0003771The Christian,0,The Christian,0,1914,\N,Drama
tt0003772Cinderella,6.1,Cinderella,0,1914,52,Drama
tt0003773A Circumstantial Nurse,0,A Circumstantial Nurse,0,1914,11,Drama
tt0003774The Circus Man,0,The Circus Man,0,1914,50,Drama
tt0003775The City Beautiful,0,The City Beautiful,0,1914,10,Crime
tt0003776The City of Darkness,0,The City of Darkness,0,1914,\N,Drama
tt0003777Classmates,4.9,Classmates,0,1914,40,Drama
tt0003778Clothes,0,Clothes,0,1914,44,Drama
tt0003780The Colosseum in Films,0,The Colosseum in Films,0,1914,\N,Documentary
tt0003781Colonel Heeza Liar Shipwrecked,0,Colonel Heeza Liar Shipwrecked,0,1914,8,Animation
tt0003782Colonel Heeza Liar in Mexico,0,Colonel Heeza Liar in Mexico,0,1914,\N,Animation
tt0003783Colonel Heeza Liar in the Wilderness,0,Colonel Heeza Liar in the Wilderness,0,1914,\N,Animation
tt0003784Colonel Heeza Liar's African Hunt,6.6,Colonel Heeza Liar's African Hunt,0,1914,7,Animation
tt0003785Colonel Heeza Liar Explorer,0,Colonel Heeza Liar Explorer,0,1914,\N,Animation
tt0003786Colonel Heeza Liar Farmer,0,Colonel Heeza Liar Farmer,0,1914,\N,Animation
tt0003787Colonel Heeza Liar Naturalist,0,Colonel Heeza Liar Naturalist,0,1914,\N,Animation
tt0003788A Colored Girl's Love,0,A Colored Girl's Love,0,1914,\N,Comedy
tt0003789Comedy and Tragedy,0,Comedy and Tragedy,0,1914,\N,Drama
tt0003790The Coming Power,0,The Coming Power,0,1914,\N,Drama
tt0003791Common Beasts of Africa,0,Common Beasts of Africa,0,1914,\N,Documentary
tt0003792The Conspiracy,0,The Conspiracy,0,1914,\N,Drama
tt0003793The Conspirators,0,The Conspirators,0,1914,11,Drama
tt0003794Corrida de toros en Valencia,0,Corrida de toros en Valencia,0,1914,20,Documentary
tt0003795The Corsair,0,The Corsair,0,1914,40,Adventure
tt0003796The Countess Betty's Mine,0,The Countess Betty's Mine,0,1914,10,Drama
tt0003797The Countess,0,The Countess,0,1914,\N,Romance
tt0003798The Country Mouse,0,The Country Mouse,0,1914,\N,Comedy
tt0003799The County Chairman,0,The County Chairman,0,1914,\N,Comedy
tt0003800The Courage of a Coward,0,The Courage of a Coward,0,1914,\N,Crime
tt0003801The Coward and the Man,0,The Coward and the Man,0,1914,12,Drama
tt0003802The Criminal Code,0,The Criminal Code,0,1914,\N,Drama
tt0003803Crossed Wires,6.6,Crossed Wires,0,1915,31,Drama
tt0003804The Crucible,6.4,The Crucible,0,1914,\N,Drama
tt0003805Cruel Cruel Love,5.3,Cruel Cruel Love,0,1914,16,Comedy
tt0003806Crushed,0,Crushed,0,1914,\N,\N
tt0003807El cuervo del campamento,0,El cuervo del campamento,0,1914,\N,\N
tt0003808La cueva vengadora,0,La cueva vengadora,0,1914,\N,Drama
tt0003809The Cup Final Mystery,0,The Cup Final Mystery,0,1914,\N,Crime
tt0003810Cupid Incognito,0,Cupid Incognito,0,1914,11,Drama
tt0003811Cupid Versus Money,0,Cupid Versus Money,0,1914,\N,Comedy
tt0003812Cursed by His Beauty,7.3,Cursed by His Beauty,0,1914,\N,Comedy
tt0003813Curses!' They Remarked,4.9,Curses!' They Remarked,0,1914,10,Comedy
tt0003814The Cynic,0,The Cynic,0,1914,10,Drama
tt0003815Damaged Goods,0,Damaged Goods,0,1914,\N,Drama
tt0003816Damon and Pythias,5.8,Damon and Pythias,0,1914,100,Drama
tt0003817Dan,4,Dan,0,1914,\N,Drama
tt0003818The Dance of Death,0,The Dance of Death,0,1914,\N,Drama
tt0003819Dance of the Vampire,7.6,Dance of the Vampire,0,1914,\N,\N
tt0003820The Dancer and the King,0,The Dancer and the King,0,1914,\N,Drama
tt0003821The Dancing Craze,0,The Dancing Craze,0,1914,\N,Comedy
tt0003822La danza fatal,0,La danza fatal,0,1915,58,\N
tt0003823A Dark Lover's Play,7.1,A Dark Lover's Play,0,1914,\N,Comedy
tt0003824A Daughter of Israel,0,A Daughter of Israel,0,1915,\N,Drama
tt0003825The Daughters of Men,0,The Daughters of Men,0,1914,\N,Drama
tt0003827The Day of Days,0,The Day of Days,0,1914,41,Drama
tt0003828The Decoy,5.9,The Decoy,0,1914,16,Crime
tt0003829The Den of Thieves,0,The Den of Thieves,0,1914,\N,Crime
tt0003830Detective Craig's Coup,0,Detective Craig's Coup,0,1914,\N,Crime
tt0003831The Detective Queen,0,The Detective Queen,0,1914,\N,Drama
tt0003832La deuda del pasado,0,La deuda del pasado,0,1914,\N,\N
tt0003833A Diamond in the Rough,0,A Diamond in the Rough,0,1914,\N,Drama
tt0003834The Diamond of Disaster,0,The Diamond of Disaster,0,1914,\N,Drama
tt0003835Diana's Dress Reform,0,Diana's Dress Reform,0,1914,11,Comedy
tt0003836Diego Corrientes,0,Diego Corrientes,0,1914,\N,\N
tt0003837Discord and Harmony,0,Discord and Harmony,0,1914,30,Drama
tt0003838The Dishonored Medal,6.3,The Dishonored Medal,0,1914,\N,Adventure
tt0003839Child of the Big City,6.6,Child of the Big City,0,1914,37,Drama
tt0003840Doc,0,Doc,0,1914,\N,Western
tt0003841Doc Yak Bowling,0,Doc Yak Bowling,0,1914,\N,Animation
tt0003842Doc Yak the Cartoonist,0,Doc Yak the Cartoonist,0,1914,\N,Animation
tt0003843Doc Yak Plays Golf,0,Doc Yak Plays Golf,0,1914,\N,Animation
tt0003844Doc Yak and Santa Claus,0,Doc Yak and Santa Claus,0,1914,\N,Animation
tt0003845Doc Yak and the Limited Train,0,Doc Yak and the Limited Train,0,1914,\N,Animation
tt0003846Doc Yak the Poultryman,0,Doc Yak the Poultryman,0,1914,\N,Animation
tt0003847Doc Yak the Marksman,0,Doc Yak the Marksman,0,1914,\N,Animation
tt0003848Doc Yak's Bottle,0,Doc Yak's Bottle,0,1914,\N,Animation
tt0003849Doc Yak's Cats,0,Doc Yak's Cats,0,1914,\N,Animation
tt0003850Doc Yak's Temperance Lecture,0,Doc Yak's Temperance Lecture,0,1914,\N,Animation
tt0003851Doc Yak's Wishes,0,Doc Yak's Wishes,0,1914,\N,Animation
tt0003852Doc Yak's Zoo,0,Doc Yak's Zoo,0,1914,\N,Animation
tt0003853Doc Yak Moving Picture Artist,0,Doc Yak Moving Picture Artist,0,1914,\N,Animation
tt0003854Dodge City Trail,3.7,Dodge City Trail,0,1936,56,Adventure
tt0003855A Dog's Love,6.5,A Dog's Love,0,1914,11,Fantasy
tt0003856The Dollar Mark,0,The Dollar Mark,0,1914,50,Drama
tt0003859Dope,0,Dope,0,1914,\N,Drama
tt0003860Double Crossed,5,Double Crossed,0,1914,14,Comedy
tt0003861The Double Deception,0,The Double Deception,0,1915,\N,Comedy
tt0003862The Double Shadow,0,The Double Shadow,0,1914,23,Drama
tt0003863Dough and Dynamite,5.9,Dough and Dynamite,0,1914,33,Comedy
tt0003864Down by the Sounding Sea,0,Down by the Sounding Sea,0,1914,\N,Drama
tt0003865Down the Hill to Creditville,0,Down the Hill to Creditville,0,1914,\N,Comedy
tt0003866Un drama en Aragón,0,Un drama en Aragón,0,1914,\N,\N
tt0003867Un drama en la montaña,0,Un drama en la montaña,0,1914,\N,\N
tt0003868A Dramatic Mistake,0,A Dramatic Mistake,0,1914,\N,Comedy
tt0003869The Dream Woman,5.2,The Dream Woman,0,1914,7,Drama
tt0003870Judge Not,4.5,Judge Not,0,1914,57,Drama
tt0003871The Eagle's Mate,6.2,The Eagle's Mate,0,1914,\N,Drama
tt0003872East Lynne in Bugville,0,East Lynne in Bugville,0,1914,\N,Comedy
tt0003873Easy Money,0,Easy Money,0,1914,\N,Comedy
tt0003874La echadora de cartas,0,La echadora de cartas,0,1914,\N,\N
tt0003875The Education of Mr. Pipp,0,The Education of Mr. Pipp,0,1914,\N,Comedy
tt0003876The Egyptian Mummy,6,The Egyptian Mummy,0,1914,15,Comedy
tt0003877Elizabeth's Prayer,0,Elizabeth's Prayer,0,1914,11,Drama
tt0003878O Embarque das Tropas Expedicionárias para Angola e Moçambique,0,O Embarque das Tropas Expedicionárias para Angola e Moçambique,0,1914,\N,Documentary
tt0003879The Embezzler,0,The Embezzler,0,1914,20,Drama
tt0003880En av de många,0,En av de många,0,1915,41,Short
tt0003881The End of the Feud,0,The End of the Feud,0,1914,11,Drama
tt0003883L'enfant de Paris,7.3,L'enfant de Paris,0,1913,124,Crime
tt0003884Engelein,6.8,Engelein,0,1914,49,Comedy
tt0003885England Expects,0,England Expects,0,1914,\N,Drama
tt0003886Enoch Arden,6,Enoch Arden,0,1914,\N,Drama
tt0003887Entre ruinas,0,Entre ruinas,0,1914,\N,\N
tt0003888The Envoy Extraordinary,0,The Envoy Extraordinary,0,1914,\N,Drama
tt0003889Erstarrte Liebe,0,Erstarrte Liebe,0,1914,\N,\N
tt0003890The Escape,6.1,The Escape,0,1914,60,Drama
tt0003891Escaped from Siberia,0,Escaped from Siberia,0,1914,\N,Drama
tt0003892Etienne of the Glad Heart,0,Etienne of the Glad Heart,0,1914,\N,Drama
tt0003893Even Unto Death,0,Even Unto Death,0,1914,\N,Drama
tt0003894Every Inch a King,0,Every Inch a King,0,1914,\N,Drama
tt0003895The Evolution of Percival,0,The Evolution of Percival,0,1914,\N,Comedy
tt0003896As Expedições Portuguesas a África,0,As Expedições Portuguesas a África,0,1914,\N,Documentary
tt0003897The Exploits of Elaine,6.5,The Exploits of Elaine,0,1914,220,Action
tt0003898The Exposure,0,The Exposure,0,1914,\N,Drama
tt0003899The Fable Proving That Spongers Are Found in a Drugstore,0,The Fable Proving That Spongers Are Found in a Drugstore,0,1914,\N,Comedy
tt0003900The Fable of Aggie and the Aggravated Attacks,0,The Fable of Aggie and the Aggravated Attacks,0,1914,\N,Comedy
tt0003901The Fable of Higher Education That Was Too High for the Old Man,0,The Fable of Higher Education That Was Too High for the Old Man,0,1914,\N,Comedy
tt0003902The Fable of How Uncle Brewster Was Too Shifty for the Tempter,0,The Fable of How Uncle Brewster Was Too Shifty for the Tempter,0,1914,\N,Comedy
tt0003903The Fable of Lutie the False Alarm,0,The Fable of Lutie the False Alarm,0,1914,\N,Comedy
tt0003904The Fable of Napoleon and the Bumps,0,The Fable of Napoleon and the Bumps,0,1914,\N,Comedy
tt0003905The Fable of One Samaritan Who Got Paralysis of the Helping Hand,0,The Fable of One Samaritan Who Got Paralysis of the Helping Hand,0,1914,\N,Comedy
tt0003906The Fable of the 'Good Fairy',0,The Fable of the 'Good Fairy',0,1914,\N,Comedy
tt0003907The Fable of the Adult Girl Who Got Busy,0,The Fable of the Adult Girl Who Got Busy,0,1914,\N,Comedy
tt0003908The Fable of the Author and the Dear Public and the Plate of Mush,0,The Fable of the Author and the Dear Public and the Plate of Mush,0,1914,\N,Comedy
tt0003909The Fable of the Brash Drummer and the Nectarine,0,The Fable of the Brash Drummer and the Nectarine,0,1914,11,Comedy
tt0003910The Fable of the Bush League Lover Who Failed to Qualify,0,The Fable of the Bush League Lover Who Failed to Qualify,0,1914,\N,Comedy
tt0003911The Fable of the Busy Business Boy and the Droppers-in,0,The Fable of the Busy Business Boy and the Droppers-in,0,1914,\N,Comedy
tt0003912The Fable of the Club Girls and the Four Times Veteran,0,The Fable of the Club Girls and the Four Times Veteran,0,1914,\N,Comedy
tt0003913The Fable of the Coming Champion Who Was Delayed,0,The Fable of the Coming Champion Who Was Delayed,0,1914,\N,Comedy
tt0003914The Fable of the Difference Between Learning and Learning How,0,The Fable of the Difference Between Learning and Learning How,0,1914,10,Comedy
tt0003915The Fable of the Family That Did Too Much for Nellie,0,The Fable of the Family That Did Too Much for Nellie,0,1914,\N,Comedy
tt0003916The Fable of the Honeymoon That Tried to Come Back,0,The Fable of the Honeymoon That Tried to Come Back,0,1914,\N,Comedy
tt0003917The Fable of the Husband Who Showed Up and Did His Duty,0,The Fable of the Husband Who Showed Up and Did His Duty,0,1914,\N,Comedy
tt0003918The Fable of the Long Range Lover and the Lallypalooze,0,The Fable of the Long Range Lover and the Lallypalooze,0,1914,\N,Comedy
tt0003919The Fable of the Manoeuvres of Joel and Father's Second Time on Earth,0,The Fable of the Manoeuvres of Joel and Father's Second Time on Earth,0,1914,\N,Comedy
tt0003920The Fable of the People's Choice Who Answered the Call of Duty and Took Seltzer,0,The Fable of the People's Choice Who Answered the Call of Duty and Took Seltzer,0,1914,\N,Comedy
tt0003921The Fable of the Regular Beanery and the Preachy Newcomer,0,The Fable of the Regular Beanery and the Preachy Newcomer,0,1914,\N,Comedy
tt0003922The Fable of the Two Mandolin Players and the Willing Performer,0,The Fable of the Two Mandolin Players and the Willing Performer,0,1914,\N,Comedy
tt0003923The Face on the Barroom Floor,5.2,The Face on the Barroom Floor,0,1914,14,Comedy
tt0003924Facing the Gattling Guns,0,Facing the Gattling Guns,0,1914,\N,Drama
tt0003925A Factory Magdalen,0,A Factory Magdalen,0,1914,\N,Drama
tt0003926A Fair Rebel,0,A Fair Rebel,0,1914,30,Romance
tt0003927A False Beauty,0,A False Beauty,0,1914,10,Short
tt0003928False Colors,0,False Colors,0,1914,32,Drama
tt0003929Fantasma,0,Fantasma,0,1914,\N,Fantasy
tt0003930Fantomas: The Mysterious Finger Print,6.8,Fantomas: The Mysterious Finger Print,0,1914,59,Crime
tt0003931The Fatal Black Bean,0,The Fatal Black Bean,0,1915,\N,Drama
tt0003932Their Fatal Bumping,6.6,Their Fatal Bumping,0,1914,\N,Comedy
tt0003933A Fatal Flirtation,0,A Fatal Flirtation,0,1914,\N,Comedy
tt0003934The Fatal Mallet,5.4,The Fatal Mallet,0,1914,18,Comedy
tt0003935The Fatal Night,0,The Fatal Night,0,1914,\N,Drama
tt0003936The Fatal Opal,0,The Fatal Opal,0,1914,\N,Drama
tt0003937Fate's Midnight Hour,0,Fate's Midnight Hour,0,1914,\N,Drama
tt0003938The Fates and Flora Fourflush,0,The Fates and Flora Fourflush,0,1914,\N,Comedy
tt0003939A Father's Devotion,0,A Father's Devotion,0,1914,\N,Drama
